epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,2809.22,0.57649,0.78174,0.32371,0.84779,0.96683,0.98447,0.99383,0.8977,0.96654,0.98419,0.99371,0.85517,0.60062,0.84326,0.36628,0.83908,0.00104936,0.00104936,0.00104936
54,2862.19,0.56949,0.75115,0.31645,0.8502,0.97073,0.96707,0.99116,0.89808,0.97073,0.96707,0.99079,0.85776,0.60821,0.85938,0.40062,0.84269,0.00103616,0.00103616,0.00103616
55,2914.97,0.57702,0.76472,0.31552,0.85204,0.96753,0.92456,0.973,0.87968,0.96753,0.92456,0.97272,0.84522,0.6185,0.90402,0.45562,0.84709,0.00102282,0.00102282,0.00102282
56,2967.18,0.55528,0.75032,0.30772,0.84458,0.95508,0.92844,0.97115,0.8812,0.95475,0.92816,0.97125,0.83977,0.60098,0.90595,0.50184,0.84249,0.00100935,0.00100935,0.00100935
57,3020.58,0.55616,0.75987,0.30734,0.84527,0.98001,0.93221,0.97849,0.88898,0.98001,0.93221,0.97891,0.8483,0.59901,0.90225,0.46057,0.84222,0.000995756,0.000995756,0.000995756
58,3073.49,0.54337,0.7476,0.29998,0.84159,0.96919,0.9707,0.98981,0.89854,0.96919,0.9707,0.98988,0.85715,0.59622,0.86111,0.36921,0.83939,0.00098204,0.00098204,0.00098204
59,3126.1,0.57476,0.77782,0.30902,0.8488,0.97738,0.93359,0.97353,0.87908,0.97738,0.93359,0.97211,0.84007,0.60994,0.91887,0.4201,0.84446,0.000968209,0.000968209,0.000968209
60,3179.15,0.57116,0.75578,0.30622,0.84603,0.96987,0.97443,0.99118,0.89406,0.96987,0.97443,0.98944,0.85486,0.61505,0.87973,0.38016,0.84499,0.00095427,0.00095427,0.00095427
61,3232.72,0.55524,0.74657,0.29658,0.8409,0.95692,0.95936,0.9901,0.89402,0.95677,0.95879,0.98987,0.85447,0.62205,0.85496,0.42296,0.84531,0.00094023,0.00094023,0.00094023
62,3284.82,0.55651,0.76102,0.3038,0.84191,0.96162,0.97499,0.98764,0.88952,0.96162,0.97499,0.98764,0.85888,0.60816,0.87895,0.37867,0.84097,0.000926093,0.000926093,0.000926093
