epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2027.61,0.65214,0.84833,0.37736,0.87209,0.97878,0.97519,0.99119,0.88103,0.97878,0.97519,0.99102,0.85251,0.61767,0.90309,0.389,0.84363,0.00116102,0.00116102,0.00116102
45,2072.33,0.64465,0.82955,0.36924,0.8695,0.96418,0.95539,0.98259,0.86581,0.96326,0.95454,0.9802,0.83116,0.6318,0.90732,0.40447,0.8533,0.00114931,0.00114931,0.00114931
46,2118.85,0.64366,0.82717,0.37081,0.86944,0.93834,0.92388,0.97818,0.87369,0.93834,0.92388,0.97671,0.83984,0.60213,0.8895,0.42096,0.84449,0.00113742,0.00113742,0.00113742
47,2164.84,0.62964,0.83563,0.36363,0.8635,0.97639,0.94477,0.98372,0.88165,0.97639,0.94477,0.98279,0.8513,0.59822,0.86033,0.3969,0.842,0.00112534,0.00112534,0.00112534
48,2209.83,0.626,0.80661,0.35143,0.85841,0.98382,0.94286,0.98108,0.88083,0.98291,0.94198,0.98105,0.84219,0.60871,0.91013,0.36944,0.84342,0.00111309,0.00111309,0.00111309
49,2255.73,0.62178,0.82875,0.34613,0.86126,0.97993,0.96383,0.99051,0.8897,0.97993,0.96383,0.99044,0.84693,0.60742,0.88068,0.35928,0.83993,0.00110066,0.00110066,0.00110066
50,2301.25,0.6048,0.79588,0.34035,0.85705,0.97651,0.94856,0.98449,0.87423,0.97646,0.9486,0.98364,0.83615,0.63933,0.91691,0.38784,0.85344,0.00108807,0.00108807,0.00108807
51,2348.38,0.5863,0.7719,0.33902,0.85579,0.95836,0.93896,0.97944,0.87637,0.95836,0.93896,0.97876,0.84274,0.59649,0.8719,0.41817,0.84165,0.00107532,0.00107532,0.00107532
52,2393.82,0.61648,0.79783,0.34534,0.85701,0.97925,0.96751,0.98921,0.88385,0.97636,0.96467,0.98882,0.84263,0.61519,0.889,0.36925,0.84222,0.00106242,0.00106242,0.00106242
53,2440.87,0.59997,0.79493,0.33931,0.85431,0.96989,0.95093,0.98956,0.88074,0.96989,0.95093,0.98833,0.84499,0.61956,0.86013,0.39495,0.8439,0.00104936,0.00104936,0.00104936
